0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
4306243.0,9152.0,80.0,9052.0,40486.0,6.0,43206.0,5647100.0,4.0,6.0,935.0,604.0,934.0,0.0,85896.0,199548.0,302.0,0.0,10566.0,20535.0,1027155.0,1642190.0,2794252.0,3534283.0,1287283.0,14.0,335889.0,606268.0,2815158.0,302210.0,22.0,2130276.0,1892658.0,2044956.0,1202233.0,738.0,0.0,0.0,0.0,0.0,136.0,208.0,1391349.0,1650694.0,0.0,935.0,45678.0,80022.0,82257.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,40542.0,60236.0,8250.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,935.0,6.0,604.0,-1.0,211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4444294.0,10296.0,58551.0,8062.0,80.0,6.0,83253.0,7728.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4382669.0,133153.0,0.0,7729.0,7737.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,20.0,4152632.0,3754811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,32738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1757888.0,9040.0,59082.0,7608.0,53.0,17.0,47059.0,1732.0,1.0,1.0,40.0,56.0,39.0,34.0,22210.0,0.0,56.0,56.0,4845.0,0.0,5129289.0,4435038.0,27511.0,0.0,1733.0,1741.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,4197439.0,3809358.0,33.0,56.0,5516.0,297.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10859.0,17779.0,3974.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,1.0,56.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4313308.0,9152.0,80.0,9052.0,54616.0,6.0,42516.0,4258538.0,4.0,4.0,935.0,339.0,934.0,0.0,85896.0,199548.0,339.0,0.0,8726.0,22574.0,1908401.0,1917435.0,2598179.0,4144623.0,1196793.0,13.0,96884.0,228245.0,2001557.0,83649.0,38.0,1511990.0,2293470.0,2733938.0,1111838.0,261.0,0.0,0.0,0.0,0.0,136.0,136.0,2027525.0,1380638.0,0.0,935.0,47025.0,94747.0,97376.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43432.0,60236.0,6760.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,935.0,4.0,339.0,-1.0,211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4721855.0,14397.0,4995.0,12467.0,53.0,17.0,14469.0,95378.0,1.0,3.0,37.0,209.0,36.0,31.0,20200.0,0.0,86.0,37.0,6778.0,1082.0,4123067.0,4088866.0,383385.0,1689139.0,95264.0,9.0,0.0,0.0,0.0,0.0,0.0,94245.0,283578.0,707232.0,94447.0,5.0,0.0,0.0,0.0,0.0,8.0,24.0,3714561.0,3592532.0,30.0,86.0,8718.0,2927.0,3118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11471.0,16388.0,5324.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,3.0,209.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4668284.0,14399.0,54251.0,22274.0,80.0,6.0,6853.0,64055814.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68602.0,4384805.0,0.0,2466476.0,385670.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,32.0,8832.0,6520.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,33304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4303942.0,9152.0,80.0,9052.0,35884.0,6.0,43098.0,4398461.0,4.0,4.0,935.0,414.0,934.0,0.0,85896.0,199548.0,414.0,0.0,10867.0,27129.0,2125409.0,1765708.0,2803797.0,4382941.0,1287515.0,16.0,142335.0,327568.0,1817911.0,81909.0,4868.0,1574820.0,2358896.0,3001428.0,1202466.0,20729.0,0.0,0.0,0.0,0.0,136.0,136.0,1891993.0,1229009.0,0.0,935.0,54273.0,100151.0,102883.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,48330.0,60236.0,8499.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,935.0,4.0,414.0,-1.0,211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1834737.0,9061.0,60783.0,7608.0,53.0,17.0,51888.0,569.0,1.0,1.0,37.0,69.0,36.0,31.0,20200.0,0.0,69.0,69.0,6678.0,0.0,5463687.0,4444503.0,9988.0,0.0,570.0,578.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,4207795.0,3820428.0,30.0,69.0,6135.0,1380.0,1452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11657.0,16388.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,69.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037596.0,9117.0,51954.0,7608.0,53.0,17.0,72647.0,398.0,1.0,1.0,53.0,133.0,52.0,47.0,30293.0,0.0,133.0,133.0,14651.0,0.0,5557348.0,4445831.0,7084.0,0.0,399.0,407.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,4209079.0,3822358.0,46.0,133.0,16304.0,8869.0,9395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24990.0,22969.0,11435.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,1.0,133.0,-1.0,-1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4509296.0,9155.0,80.0,9053.0,57970.0,6.0,83167.0,1145.0,4.0,3.0,935.0,249.0,934.0,0.0,85896.0,199548.0,249.0,0.0,8513.0,18707.0,5625176.0,4446513.0,3534.0,208401.0,668.0,15.0,1139.0,3435.0,33957.0,918.0,25.0,919.0,3887.0,51857.0,668.0,252.0,0.0,0.0,0.0,0.0,92.0,72.0,4209961.0,3822534.0,0.0,935.0,52618.0,104336.0,107132.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,48599.0,60236.0,6593.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,935.0,3.0,249.0,-1.0,32768.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
